term,zh_cn
Achievement_Xbox_Completed_01,在任务中进行了25次对话选择
Achievement_Xbox_Completed_02,杀了10个任务 BOSS
Achievement_Xbox_Completed_03,已完成10个任务
Achievement_Xbox_Completed_04,已完成30个任务
Achievement_Xbox_Completed_05,已完成60个任务
Achievement_Xbox_Completed_06,已完成100个任务
Achievement_Xbox_Completed_07,已收集布局配方的所有碎片
Achievement_Xbox_Completed_08,已收集 4 个布局配方的所有碎片
Achievement_Xbox_Completed_09,已制作所有布局
Achievement_Xbox_Completed_10,在任务中杀死了500个敌人
Achievement_Xbox_Completed_11,在任务中收集了100个治疗针和100个消辐宁
Achievement_Xbox_Completed_12,分解了500件物品
Achievement_Xbox_Completed_13,制作了10件武器
Achievement_Xbox_Completed_14,制作了10件服装
Achievement_Xbox_Completed_15,制作了一件服装、一件武器和一个布局
Achievement_Xbox_Completed_16,改变了理发店里10位居民的模样
Achievement_Xbox_Description_01,在任务中做出25个对话选择
Achievement_Xbox_Description_02,杀死10个任务 BOSS
Achievement_Xbox_Description_03,完成10个任务
Achievement_Xbox_Description_04,完成30个任务
Achievement_Xbox_Description_05,完成60个任务
Achievement_Xbox_Description_06,完成100个任务
Achievement_Xbox_Description_07,收集所有布局配方的碎片
Achievement_Xbox_Description_08,收集4个布局配方的所有碎片
Achievement_Xbox_Description_09,制作每一个布局
Achievement_Xbox_Description_10,在任务中杀死500个敌人
Achievement_Xbox_Description_11,在任务中收集100个治疗针和100个消辐宁
Achievement_Xbox_Description_12,分解500件物品
Achievement_Xbox_Description_13,制作10件武器
Achievement_Xbox_Description_14,制作10件服装
Achievement_Xbox_Description_15,制作1件服装，一件武器和一个布局
Achievement_Xbox_Description_16,改变理发店里10位居民的模样
Achievement_Xbox_Name_01,净说好话的人
Achievement_Xbox_Name_02,你被开除了!
Achievement_Xbox_Name_03,废土流浪者
Achievement_Xbox_Name_04,城市游侠
Achievement_Xbox_Name_05,幸存者
Achievement_Xbox_Name_06,废土的传说
Achievement_Xbox_Name_07,涂抹肘部润滑脂
Achievement_Xbox_Name_08,装饰者
Achievement_Xbox_Name_09,室内设计师
Achievement_Xbox_Name_10,废土之敌
Achievement_Xbox_Name_11,大制药厂
Achievement_Xbox_Name_12,废品店
Achievement_Xbox_Name_13,武器匠
Achievement_Xbox_Name_14,时装设计师
Achievement_Xbox_Name_15,不仅仅是方便
Achievement_Xbox_Name_16,有点过头了
ActivateRewards,激活奖励
AlreadyExists_VaultName,避难所名已存在
Android_Ask_Notification_Message,你想让《辐射避难所》给你发送通知吗？
Android_Ask_Notification_No,否
Android_Ask_Notification_Title,通知
Android_Ask_Notification_Yes,是
Android_PushNotification_Summary,你的避难所出事了！
AndroidShareViaKey,分享至
Armory_Upgrade_Info,加快【感知】训练速度
Attention,注意
Baby_NewBabyArrived,为新生儿命名！
Baby_ProudParents,喜得贵子的夫妇
Baby_Triplets,三胞胎
Baby_Twins,双胞胎
Bar_Upgrade_Info,加快【魅力】训练速度
BarberShop_CancelCustomization_Message,你消耗的瓶盖将不会返还。是否确定？
BarberShop_FacialFeature,面部特征
BarberShop_HairColor,发色
BarberShop_HairStyle,发型
BarberShop_Interface_Title,自定义
BarberShop_Total_Cost,费用
BarberShop_Total_Time,时间
BarberShop_Upgrade_Info,自定义面部特征
Bonus_AddMaxHP,+{0}% 健康度
Bonus_CheaperCrafting,-{0}% 制作成本
Bonus_ChildMultiplier,{0}% 双胞胎几率
Bonus_ChildSpecialBoost,+{0}儿童SPECIAL属性值
Bonus_DamageBoost,+{0}伤害
Bonus_FasterAndCheaperCrafting,-{0}% 制作耗时和成本
Bonus_FasterCrafting,-{0}% 制作耗时
Bonus_FasterPregnancy,-{0}% 怀孕耗时
Bonus_FasterWastelandReturnSpeed,x{0}废土返回速度
Bonus_HappinessBoost,+{0}% 愉悦度
Bonus_HealingBoost,x{0}回复速度
Bonus_MysteriousMagnet,x{0}陌生人出现几率
Bonus_ObjectiveMultiplier,x{0}目标完成
Bonus_RadHealingBoost,x{0}辐射损伤回复速度
Bonus_Resistance,{0}% 减伤
Bonus_StimpackBoost,治疗针
Bonus_SurvivalGuide_AddMaxHP,健康
Bonus_SurvivalGuide_CheaperCrafting,制作成本
Bonus_SurvivalGuide_ChildMultiplier,双胞胎几率
Bonus_SurvivalGuide_ChildSpecialBoost,儿童SPECIAL属性
Bonus_SurvivalGuide_DamageBoost,伤害
Bonus_SurvivalGuide_FasterAndCheaperCrafting,制作耗时和成本
Bonus_SurvivalGuide_FasterCrafting,制作耗时
Bonus_SurvivalGuide_FasterPregnancy,怀孕耗时
Bonus_SurvivalGuide_FasterWastelandReturnSpeed,废土返回速度
Bonus_SurvivalGuide_HappinessBoost,愉悦度
Bonus_SurvivalGuide_HealingBoost,回复速度
Bonus_SurvivalGuide_MysteriousMagnet,陌生人出现几率
Bonus_SurvivalGuide_ObjectiveMultiplier,目标完成
Bonus_SurvivalGuide_RadHealingBoost,辐射损伤回复速度
Bonus_SurvivalGuide_Resistance,减伤
Bonus_SurvivalGuide_StimpackBoost,治疗针
Bonus_SurvivalGuide_TrainingBoost,训练时间
Bonus_SurvivalGuide_TrainingNonStopBoost,训练时间（持续）
Bonus_SurvivalGuide_WastelandCapsBoost,废土寻获的瓶盖
Bonus_SurvivalGuide_WastelandItemBoost,废土寻获的武器和服装
Bonus_SurvivalGuide_WastelandJunkBoost,废土寻获的垃圾
Bonus_SurvivalGuide_XPBoost,经验值
Bonus_TrainingBoost,-{0}% 训练时间
Bonus_TrainingNonStopBoost,-{0}% 训练时间 (持续)
Bonus_WastelandCapsBoost,废土寻获的瓶盖+{0}%
Bonus_WastelandItemBoost,废土寻获的武器和服装+{0}%
Bonus_WastelandJunkBoost,废土寻获的垃圾+{0}%
Bonus_XPBoost,+{0}% 经验
BottleAndCappyArrivalInVault,瓶瓶和盖盖！
Building_Room,建造中…
BuildOption_APNeeded,瓶盖不足
BuildOption_Build,建造
Button_Accept,接受
Button_Advance,前进
Button_BeginQuest,开始任务
Button_Build,建造
Button_Buy,购买
Button_BuyMore,购买更多
Button_BuyMore_Switch,打开商店
Button_BuyPack,购买礼包
Button_BuyPack_Switch,打开eShop
Button_Cancel,取消
Button_Confirm,确认
Button_Continue,继续
Button_Crafting,制作
Button_Customize,自定义
Button_Dismiss,解雇
Button_DoNotShowAgain,不再显示
Button_Enter,进入！
Button_Evict,驱逐
Button_GotIt,知道了
Button_Ignore,忽略
Button_Instant,立即完成
Button_Job,工作
Button_No,否
Button_NotNow,暂不
Button_Ok,好的
Button_QuantumComplete,完成
Button_QuantumFinish,结束
Button_QuantumSkip,立即到达
Button_QuestList,任务列表
Button_Random,随机
Button_ReloadLater,稍后刷新
Button_ReloadNow,马上刷新
Button_Reset,重置
Button_Sell,出售
Button_Skip,跳过
Button_Sort,分类
Button_StartNow,立即开始
Button_StartQuest,开始任务
Button_Status,状态
Button_Watch,观看
Button_Yes,是
Button_Spin,转动
CameraSensitivity,镜头灵敏度
Casino_Upgrade_Info,加快【幸运】的提升速度
Claim,领取
Claim_Exclamation,获取！
Classroom_Upgrade_Info,加快【智力】训练速度
cloud_newer,较新的
CloudActionImport,输入
CloudActionKeep,保留
CloudActionNewVault,新避难所
CloudActivationFailed,云端激活时发生错误。请检查您的云设置或稍后重试。
CloudConflictDescription,你想要保留哪个存档？
CloudFailedVersionMismatch,你的云存档来自一个较新版本的《辐射避难所》，请更新游戏后重试。
CloudSaveConfirmMessage,你确定你想保留云端存档吗？
CodeOfConduct_ButtonText,行为准则
CodeOfConduct_Legal_Link,https://documents.bethesda.net/en/code-of-conduct
Completed,完成
Controls_Button,控制
Controls_Switch_Vault_ResetCamera_Switch,重置镜头（按下）
Controls_Switch_Vault_Resources_Switch,资源（按下）
Controls_Title,控制
Controls_Xbox_Footer_Collect,收集
Controls_Xbox_Footer_Filter,筛选
Controls_Xbox_Footer_FilterSpecial,筛选/更改SPECIAL排序
Controls_Xbox_Footer_Rename,重命名
Controls_Xbox_Footer_ReverseOrder,反向排序
Controls_Xbox_Footer_Special,更改SPECIAL排序
Controls_Xbox_Quest_Collect,收集
